 2.625D-11 2.519D-11 2.418D-11 2.321D-11 2.229D-11 2.141D-11 2.056D-11 1.976D-11                                                    
 1.899D-11 1.825D-11 1.754D-11 1.686D-11 1.621D-11 1.559D-11 1.500D-11 1.443D-11                                                    
 1.388D-11 1.336D-11 1.286D-11 1.237D-11 1.191D-11 1.147D-11 1.104D-11 1.063D-11                                                    
 1.024D-11 9.866D-12 9.505D-12 9.158D-12 8.824D-12 8.503D-12 8.195D-12 7.899D-12                                                    
 7.615D-12 7.341D-12 7.078D-12 6.825D-12 6.582D-12 6.348D-12 6.123D-12 5.906D-12                                                    
 5.698D-12 5.479D-12 5.304D-12 5.118D-12 4.929D-12 4.767D-12 4.600D-12 4.441D-12                                                    
 4.287D-12 4.138D-12 3.995D-12 3.858D-12 3.725D-12 3.597D-12 3.474D-12 3.355D-12                                                    
 3.241D-12 3.130D-12 3.024D-12 2.921D-12 2.822D-12 2.727D-12 2.635D-12 2.546D-12                                                    
 2.460D-12 2.377D-12 2.298D-12 2.221D-12 2.147D-12 2.075D-12 2.006D-12 1.939D-12                                                    
 1.875D-12 1.813D-12 1.753D-12 1.695D-12 1.639D-12 1.585D-12 1.533D-12 1.482D-12                                                    
 1.434D-12 1.387D-12 1.341D-12 1.297D-12 1.255D-12 1.214D-12 1.175D-12 1.137D-12                                                    
 1.100D-12 1.064D-12 1.030D-12 9.965D-13 9.644D-13 9.333D-13 9.033D-13 8.743D-13                                                    
 8.463D-13 8.192D-13 7.930D-13 7.677D-13 7.432D-13 7.196D-13 6.967D-13                                                              
